id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,detailed_mood_tag,vocal_intensity,lyrical_depth,replay_value
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,88,2010s,uplifting,0.72,0.44,0.91
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,67,2020s,study,0.21,0.58,0.83
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,79,2000s,adrenaline,0.89,0.53,0.76
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,63,2020s,rainy,0.12,0.61,0.78
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,91,2020s,motivational,0.84,0.32,0.88
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,58,2010s,meditative,0.08,0.47,0.69
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,61,1990s,cozy,0.26,0.74,0.64
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,74,1980s,nightdrive,0.38,0.36,0.86
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,70,2020s,productive,0.19,0.55,0.84
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,76,2010s,carefree,0.63,0.49,0.82
11,City Cipher,Glass Alley,hip hop,confident,0.83,96,0.68,0.87,0.12,85,2010s,swagger,0.90,0.81,0.87
12,Winter Letters,North Vale,classical,melancholic,0.18,58,0.32,0.21,0.97,54,1970s,somber,0.05,0.66,0.51
13,Backroad Bloom,Cedar June,country,warm,0.55,102,0.74,0.64,0.58,66,2000s,heartland,0.57,0.62,0.73
14,Laser Hearts,Prism Youth,edm,euphoric,0.95,128,0.86,0.91,0.04,89,2010s,festival,0.41,0.22,0.93
15,Velvet Hour,Sola Rae,r&b,romantic,0.61,88,0.72,0.76,0.33,72,2000s,late-night,0.74,0.68,0.79
16,Iron Anthem,Black Static,metal,aggressive,0.97,168,0.39,0.51,0.03,68,1990s,ferocious,0.96,0.41,0.71
17,Porchlight Sky,Maple Thread,folk,nostalgic,0.33,76,0.67,0.47,0.90,60,1970s,homesick,0.29,0.79,0.68
18,Sunset Motion,Luna Caribe,reggaeton,playful,0.89,104,0.83,0.93,0.08,84,2020s,summer,0.77,0.35,0.90
